,datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
11557,351775,963,2,15,15-Feb-0963 00:00:00,279.848298322472,280.80063855655897,278.895958088386
11558,351803,963,3,15,15-Mar-0963 00:00:00,280.187745598604,281.440689253166,278.934801944043
11559,351834,963,4,15,15-Apr-0963 00:00:00,280.425859482225,281.972853146785,278.878865817665
11560,351864,963,5,15,15-May-0963 00:00:00,280.367707127571,281.874756954248,278.860657300895
11561,351895,963,6,15,15-Jun-0963 00:00:00,279.633575370204,280.358977944841,278.908172795567
11562,351925,963,7,15,15-Jul-0963 00:00:00,277.992422544159,277.076330150549,278.908514937769
11563,351956,963,8,15,15-Aug-0963 00:00:00,276.38834362436404,274.01429143068196,278.762395818046
11564,351987,963,9,15,15-Sep-0963 00:00:00,276.34696052234904,274.110523265179,278.58339777951903
11565,352017,963,10,15,15-Oct-0963 00:00:00,277.381961514729,276.217841321666,278.54608170779204
11566,352048,963,11,15,15-Nov-0963 00:00:00,278.38433274987005,278.09490300071,278.673762499031
11567,352078,963,12,15,15-Dec-0963 00:00:00,279.019133595693,279.335315484529,278.702951706857
11568,352109,964,1,15,15-Jan-0964 00:00:00,279.476896817894,280.156116761223,278.797676874565
11569,352140,964,2,15,15-Feb-0964 00:00:00,279.85712146442603,280.809461698512,278.90478123033904
11570,352169,964,3,15,15-Mar-0964 00:00:00,280.19622623764,281.449169892202,278.943282583079
11571,352200,964,4,15,15-Apr-0964 00:00:00,280.434089263937,281.981082928497,278.88709559937803
11572,352230,964,5,15,15-May-0964 00:00:00,280.375797717884,281.882847544561,278.868747891208
11573,352261,964,6,15,15-Jun-0964 00:00:00,279.64165845537497,280.367061030012,278.916255880738
11574,352291,964,7,15,15-Jul-0964 00:00:00,278.000649830773,277.084557437163,278.91674222438303
11575,352322,964,8,15,15-Aug-0964 00:00:00,276.396886732788,274.022834539106,278.77093892647
11576,352353,964,9,15,15-Sep-0964 00:00:00,276.35599386044896,274.119556603279,278.592431117619
11577,352383,964,10,15,15-Oct-0964 00:00:00,277.391625517934,276.227505324871,278.55574571099703
11578,352414,964,11,15,15-Nov-0964 00:00:00,278.394729055987,278.105299306827,278.684158805148
11579,352444,964,12,15,15-Dec-0964 00:00:00,279.030325044911,279.346506933747,278.71414315607495
11580,352475,965,1,15,15-Jan-0965 00:00:00,279.488907452784,280.168127396113,278.809687509455
11581,352506,965,2,15,15-Feb-0965 00:00:00,279.869936529937,280.822276764024,278.91759629585096
11582,352534,965,3,15,15-Mar-0965 00:00:00,280.20979218110597,281.462735835668,278.956848526545
11583,352565,965,4,15,15-Apr-0965 00:00:00,280.44831373507003,281.99530739962995,278.901320070511
11584,352595,965,5,15,15-May-0965 00:00:00,280.39054956877703,281.897599395454,278.883499742101
11585,352626,965,6,15,15-Jun-0965 00:00:00,279.656767740503,280.38217031514,278.931365165866
11586,352656,965,7,15,15-Jul-0965 00:00:00,278.015907806992,277.099815413382,278.932000200602
11587,352687,965,8,15,15-Aug-0965 00:00:00,276.412045905179,274.037993711497,278.78609809886103
11588,352718,965,9,15,15-Sep-0965 00:00:00,276.370790533069,274.134353275899,278.607227790239
11589,352748,965,10,15,15-Oct-0965 00:00:00,277.40584121231,276.241721019247,278.569961405373
11590,352779,965,11,15,15-Nov-0965 00:00:00,278.408201032296,278.11877128313597,278.697630781457
11591,352809,965,12,15,15-Dec-0965 00:00:00,279.042946301977,279.359128190813,278.726764413141
11592,352840,966,1,15,15-Jan-0966 00:00:00,279.50062672807996,280.179846671409,278.821406784751
11593,352871,966,2,15,15-Feb-0966 00:00:00,279.880758299584,280.83309853367,278.928418065497
11594,352899,966,3,15,15-Mar-0966 00:00:00,280.219776659872,281.472720314434,278.966833005311
11595,352930,966,4,15,15-Apr-0966 00:00:00,280.45757687637297,282.004570540933,278.910583211814
11596,352960,966,5,15,15-May-0966 00:00:00,280.39926306468203,281.906312891359,278.892213238006
11597,352991,966,6,15,15-Jun-0966 00:00:00,279.66515902172404,280.390561596361,278.939756447087
11598,353021,966,7,15,15-Jul-0966 00:00:00,278.02426004289,277.10816764927995,278.9403524365
11599,353052,966,8,15,15-Aug-0966 00:00:00,276.420697996784,274.046645803102,278.794750190466
11600,353083,966,9,15,15-Sep-0966 00:00:00,276.380112815467,274.143675558297,278.616550072637
11601,353113,966,10,15,15-Oct-0966 00:00:00,277.416149675737,276.252029482674,278.58026986880003
11602,353144,966,11,15,15-Nov-0966 00:00:00,278.419738077718,278.130308328558,278.709167826879
11603,353174,966,12,15,15-Dec-0966 00:00:00,279.055880741088,279.372062629924,278.739698852252
11604,353205,967,1,15,15-Jan-0967 00:00:00,279.515053783303,280.194273726632,278.835833839974
11605,353236,967,2,15,15-Feb-0967 00:00:00,279.896699604071,280.849039838157,278.944359369984
11606,353264,967,3,15,15-Mar-0967 00:00:00,280.23718025750304,281.49012391206503,278.984236602942
11607,353295,967,4,15,15-Apr-0967 00:00:00,280.476317221756,282.023310886316,278.929323557197
11608,353325,967,5,15,15-May-0967 00:00:00,280.419141023156,281.926190849833,278.91209119648
11609,353356,967,6,15,15-Jun-0967 00:00:00,279.685901869354,280.411304443991,278.960499294717
11610,353386,967,7,15,15-Jul-0967 00:00:00,278.045521466471,277.129429072861,278.961613860081
11611,353417,967,8,15,15-Aug-0967 00:00:00,276.442058093841,274.068005900159,278.816110287523
11612,353448,967,9,15,15-Sep-0967 00:00:00,276.401103134426,274.164665877256,278.637540391596
11613,353478,967,10,15,15-Oct-0967 00:00:00,277.436369486278,276.272249293215,278.600489679341
11614,353509,967,11,15,15-Nov-0967 00:00:00,278.438888660263,278.14945891110295,278.728318409424
11615,353539,967,12,15,15-Dec-0967 00:00:00,279.073765399578,279.389947288414,278.757583510742
11616,353570,968,1,15,15-Jan-0968 00:00:00,279.531577845196,280.210797788525,278.852357901867
11617,353601,968,2,15,15-Feb-0968 00:00:00,279.911870420343,280.86421065442903,278.95953018625596
11618,353630,968,3,15,15-Mar-0968 00:00:00,280.251107202645,281.504050857207,278.998163548084
11619,353661,968,4,15,15-Apr-0968 00:00:00,280.489211693781,282.03620535834096,278.942218029221
11620,353691,968,5,15,15-May-0968 00:00:00,280.431316443592,281.938366270269,278.924266616916
11621,353722,968,6,15,15-Jun-0968 00:00:00,279.697773683248,280.423176257885,278.972371108611
11622,353752,968,7,15,15-Jul-0968 00:00:00,278.057607142388,277.141514748778,278.973699535998
11623,353783,968,8,15,15-Aug-0968 00:00:00,276.454977123861,274.080924930179,278.829029317543
11624,353814,968,9,15,15-Sep-0968 00:00:00,276.415551485248,274.179114228078,278.651988742418
11625,353844,968,10,15,15-Oct-0968 00:00:00,277.452963306065,276.28884311300203,278.617083499128
11626,353875,968,11,15,15-Nov-0968 00:00:00,278.458104318702,278.168674569542,278.747534067863
11627,353905,968,12,15,15-Dec-0968 00:00:00,279.095939334929,279.412121223764,278.779757446093
11628,353936,969,1,15,15-Jan-0969 00:00:00,279.556906564289,280.236126507618,278.87768662096
11629,353967,969,2,15,15-Feb-0969 00:00:00,279.940410498582,280.892750732668,278.98807026449504
11630,353995,969,3,15,15-Mar-0969 00:00:00,280.282775284007,281.535718938569,279.029831629446
11631,354026,969,4,15,15-Apr-0969 00:00:00,280.523784490814,282.070778155374,278.976790826255
11632,354056,969,5,15,15-May-0969 00:00:00,280.468430737416,281.975480564093,278.96138091074
11633,354087,969,6,15,15-Jun-0969 00:00:00,279.73692632355596,280.462328898193,279.011523748919
11634,354117,969,7,15,15-Jul-0969 00:00:00,278.098155047444,277.182062653834,279.014247441054
11635,354148,969,8,15,15-Aug-0969 00:00:00,276.496137280503,274.12208508682096,278.870189474185
11636,354179,969,9,15,15-Sep-0969 00:00:00,276.4564223321,274.21998507493,278.69285958927003
11637,354209,969,10,15,15-Oct-0969 00:00:00,277.492694715917,276.328574522854,278.65681490898
